collision_group,source_path,canonical_target,relative_path,sha256,size_bytes,classification,action,reason
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/css/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/DailyChallenge/HTMLForm/css/README.md,DailyChallenge/HTMLForm/css/README.md,e597a6c75b782416187c93aa46da9d06a9117970f57c8ecc0a2ce05e03a2c3ce,1635,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/app.js,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/app.js,Exercises/ExercisesXP/app.js,fab52204b561447ee03685cc1b13ae08dce31fc5d1ac6106f46249a80be8c116,2038,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/index.html,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/index.html,Exercises/ExercisesXP/index.html,61806a752cd8b3e097e8caafa533cdbaaaf0a29de09ff6dfcfa66f677221f986,3184,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/README.md,Exercises/ExercisesXP/README.md,c82dc3284a50045950e84bfb22ef2b2e3f008629e4751b055aa3def3817ac0a4,3444,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/style.css,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXP/style.css,Exercises/ExercisesXP/style.css,008ce07b42506ad776d42443feabefe91d3fa7f5d40f94b63aa6e016a3a648dd,1662,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXPGold/index.html,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXPGold/index.html,Exercises/ExercisesXPGold/index.html,aae1f63a377c5a80a2a6da244e81d1a414618dc3aba3420e3fa2f435d5cf6eb7,852,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXPGold/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXPGold/README.md,Exercises/ExercisesXPGold/README.md,43d115d5e27ffb137ddbb208b41d701d916af525d6cd1668654e6ca68d6cd192,2198,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXPGold/result.html,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/ExercisesXPGold/result.html,Exercises/ExercisesXPGold/result.html,de1c688a2c87a7b48c377e67dd8097fc7bf6f7a63f8e715b9328f71c80e1c96f,1111,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/css/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/css/README.md,Exercises/RandomQuoteGenerator/css/README.md,d334428160b2414bf8f6370cf80a4464bda2ee8191271ee9b7166c1b23a3b567,1635,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/css/styles.css,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/css/styles.css,Exercises/RandomQuoteGenerator/css/styles.css,2cc46cfccfb97fbe1dec2f73b0e33e12d80df6c7c06f4bac26c9c8604425f759,1584,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/index.html,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/index.html,Exercises/RandomQuoteGenerator/index.html,c8031e31eef536d91d93946475607454d4e0bf927f90dce93133876491c92f7d,2914,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/js/app.js,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/js/app.js,Exercises/RandomQuoteGenerator/js/app.js,7fc6b67ce0144209510fcb8169b8797544ae66f38bfc6439a4fff46ec66f3081,6397,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/js/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/js/README.md,Exercises/RandomQuoteGenerator/js/README.md,fe2baa550343c99daf5d01ddc3d7071c08d3e69ea0a07020660dee5d7a93c841,1678,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/RandomQuoteGenerator/README.md,Exercises/RandomQuoteGenerator/README.md,149c1d68370ca5c316c5a975198bc632c67fe8c26c1cb5883901c4f4ae6c6d0f,3259,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/Exercises/README.md,Exercises/README.md,e1ba11bbc768e0fd64e030cf616b6923c0c9312c494fbc255ef8d7b02b85a0a6,2146,unique,keep,already canonical; preserve tracked blob
week4_day3,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/README.md,Week4AdvAsynchronousJavaScript/Day3HTTPAndFormMethodGETAndPOST/README.md,README.md,ed1a7b1690d343bf688f8f12b2da10624b69bf278a0983fa8723313b4ad979b2,2419,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/CurrencyConverter/config.example.js,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/CurrencyConverter/config.example.js,Day1MiniProject/DailyChallenge/CurrencyConverter/config.example.js,47ce697b8424aa3be11f13fe50f7ebe40b18b92cf27450d758c3703f17e0eb5e,60,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/CurrencyConverter/index.html,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/CurrencyConverter/index.html,Day1MiniProject/DailyChallenge/CurrencyConverter/index.html,23ba78f69e2f886df2a7118f3f1e8f7be3cc46fc5242150d90a8d66790faaf6f,17753,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/CurrencyConverter/README.md,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/CurrencyConverter/README.md,Day1MiniProject/DailyChallenge/CurrencyConverter/README.md,cb4140ad1970f97cf65ac6fb6e881b6fbdfc10340ab33e059e93baefae316096,8655,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/README.md,Week5MiniProjectAndTypeScript/Day1MiniProject/DailyChallenge/README.md,Day1MiniProject/DailyChallenge/README.md,f6c04f02efcf133c7f3c28f7b4a2b3d0ad2d5263e8fcca3e953fd6d75a6d3ff6,1609,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniprojectAndTypeScript/Day1Miniproject/Exercises/Pokedex/index.html,Week5MiniProjectAndTypeScript/Day1MiniProject/Exercises/Pokedex/index.html,Day1Miniproject/Exercises/Pokedex/index.html,4972036e9bdb73de7c71bd9b58a2657bd1e4423ebf8af23a6ba7d9f8ed7f0673,20500,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniprojectAndTypeScript/Day1Miniproject/Exercises/Pokedex/README.md,Week5MiniProjectAndTypeScript/Day1MiniProject/Exercises/Pokedex/README.md,Day1Miniproject/Exercises/Pokedex/README.md,eced8e4f2fe0e4d046a9af45012d66e2a637a1a9e299e09acc2cb45c33d6f6bd,7790,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniProjectAndTypeScript/Day1MiniProject/Exercises/README.md,Week5MiniProjectAndTypeScript/Day1MiniProject/Exercises/README.md,Day1MiniProject/Exercises/README.md,b6f4306a2d38d98dbd0f6c2862c0ec3aba477fea920fe16416ee9a806eff9b05,1570,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day1MiniProject/README.md,Week5MiniProjectAndTypeScript/Day1MiniProject/README.md,Day1MiniProject/README.md,3f80f053d118bb7d12e1dae80274965f6dc75de1982c686ce0e0694da6ac5b69,1823,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniprojectAndTypeScript/Day1Miniproject/StarWarsWebApp/index.html,Week5MiniProjectAndTypeScript/Day1MiniProject/StarWarsWebApp/index.html,Day1Miniproject/StarWarsWebApp/index.html,92c9ca4f811053cd54767a6ac72d18b91b9300a2e4212773e1a22b9731b7c44e,12549,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniprojectAndTypeScript/Day1Miniproject/StarWarsWebApp/README.md,Week5MiniProjectAndTypeScript/Day1MiniProject/StarWarsWebApp/README.md,Day1Miniproject/StarWarsWebApp/README.md,1849c036987b786185a70c8744abc24ce5d6dd678f59cf3bdaad8e6dda08708f,5012,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/README.md,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/README.md,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/README.md,aa9209bd7da774262a61df55cfa123d3de9ad49226b33881b7e2279a66c59a8b,1670,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniprojectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/.gitignore,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/.gitignore,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/.gitignore,304e6768f9ef9c586e5e1b49e0d055a740d75d91af9c47fa63caec05935cf75d,60,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniprojectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/package.json,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/package.json,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/package.json,bbc4d3dbbae68265a093cbdc1d5a97ee9885388c262877ca5545a09ccf6593bb,519,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniprojectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/README.md,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/README.md,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/README.md,fc78c32b2b3dcc3407a64c7501cea42f201bd1cb4ca66679bdbe8e663508d998,9995,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniprojectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/src/index.ts,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/src/index.ts,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/src/index.ts,eb1fe4c9eed6862c55824266f7b8e5edb4ccf0701675fbd971d87f97db7ad387,7928,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/src/README.md,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/src/README.md,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/src/README.md,af7df308e7563a15f300d178308404dc34f2cbf62bebbac6630420890be4830e,1704,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniprojectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/tsconfig.json,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/tsconfig.json,Day2IntroductionToTypeScriptAndKeyConcepts/DailyChallenge/UnionTypeValidator/tsconfig.json,28e327bf462c9034754f2a95d9c212c3eb2c6d7f7e9bfc1ef0e30f7f0d65682c,468,unique,move,unique tracked blob in case-conflicting legacy tree; move without overwrite
week5_root,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/ExercisesXP/ExercisesXP_Basics.ts,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/ExercisesXP/ExercisesXP_Basics.ts,Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/ExercisesXP/ExercisesXP_Basics.ts,609b88020c05ff69cb25c5b125083e6d0efd9d3e87b95b0f344cfd618f3c0ce8,4320,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/ExercisesXP/README.md,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/ExercisesXP/README.md,Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/ExercisesXP/README.md,77b9363fd9558d80ec9761dbfcbc4414eeacc986f1237daee5162b7fece0a1d8,2453,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/README.md,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/README.md,Day2IntroductionToTypeScriptAndKeyConcepts/Exercises/README.md,27b5ce477adf5c9083096a97c752dc4271d2095539c4f5ee491ce1ee4963b6ea,1710,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/README.md,Week5MiniProjectAndTypeScript/Day2IntroductionToTypeScriptAndKeyConcepts/README.md,Day2IntroductionToTypeScriptAndKeyConcepts/README.md,2b7e0fb11dc3e195ce6c22040e360f1523cdf0d3eb4ff4905b7db0390d16f446,1801,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/DailyChallenge/LibrarySystem.ts,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/DailyChallenge/LibrarySystem.ts,Day3AdvancedTypeScriptConceptsAndApplications/DailyChallenge/LibrarySystem.ts,701da4b0aeb7f6279928cadfe9c60f425053de43ab3486bcd87a1fed9676f7fc,3016,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/DailyChallenge/README.md,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/DailyChallenge/README.md,Day3AdvancedTypeScriptConceptsAndApplications/DailyChallenge/README.md,229cfc3f91d9c6c888ee6ed39fde54bda8c53d9aa40dd6b454a5207c1d404cbf,2419,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/ExercisesXP_OOP.ts,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/ExercisesXP_OOP.ts,Day3AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/ExercisesXP_OOP.ts,c6a803a7ac36b92d5d74dca9ecdc1f22818bc574176a42c37174d05559d8e03c,4056,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/README.md,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/README.md,Day3AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/README.md,b2f235c70d933d8ad86d14e7dbabb62d422e71da99c8aa90adcf7f389c260b2a,2386,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/Exercises/README.md,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/Exercises/README.md,Day3AdvancedTypeScriptConceptsAndApplications/Exercises/README.md,a1f72e54c7a2adff5db8a88c61c899c51a0efa549f7e11bff0ea9900d8abae4b,1710,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/README.md,Week5MiniProjectAndTypeScript/Day3AdvancedTypeScriptConceptsAndApplications/README.md,Day3AdvancedTypeScriptConceptsAndApplications/README.md,739662940d4ef1d938fdb1639138570b4b99a4fb0c855739dd3c4cbf00614285,2100,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/.gitignore,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/.gitignore,Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/.gitignore,a3aae9dc718ab5fa433a9331be7f2ddf10dd139a2d1dc8d35d05c8bc356265d9,29,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/README.md,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/README.md,Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/README.md,8656993d9cbfc7b397183bebe612f3bebc33d8b0f9da0c3725797ee1bbed8243,2562,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/TypeGuardUnion.ts,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/TypeGuardUnion.ts,Day4AdvancedTypeScriptConceptsAndApplications/DailyChallenge/TypeGuardUnion.ts,cfd85c53e5c1a242f1dbbc21193a2ef08441e39fcec90a314f5b18ba533c0a43,2251,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/.gitignore,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/.gitignore,Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/.gitignore,a3aae9dc718ab5fa433a9331be7f2ddf10dd139a2d1dc8d35d05c8bc356265d9,29,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/ExercisesXP.ts,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/ExercisesXP.ts,Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/ExercisesXP.ts,23a29800c164fbfc48ac3c8b6e08c3c671685d0fcb23aec32d1a5146bd508bf1,3195,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/README.md,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/README.md,Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXP/README.md,058fb25655b69382e84a1ef30367208bbf210160020d87aa010cd45cfaa5f331,2528,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/.gitignore,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/.gitignore,Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/.gitignore,a3aae9dc718ab5fa433a9331be7f2ddf10dd139a2d1dc8d35d05c8bc356265d9,29,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/ExercisesXPGold.ts,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/ExercisesXPGold.ts,Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/ExercisesXPGold.ts,d6f10a2fb05d0500da3a1880800e9d4ed90d9a8d527696e12ff2b42101f3b16a,4432,unique,keep,already canonical; preserve tracked blob
week5_root,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/README.md,Week5MiniProjectAndTypeScript/Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/README.md,Day4AdvancedTypeScriptConceptsAndApplications/Exercises/ExercisesXPGold/README.md,bc9c6c10bdf63dcd6e4d114e99fa9e651b9376f00c4bb7007720cf7bbe8f6933,2520,unique,keep,already canonical; preserve tracked blob
